"","solicitacao","localizacao","descricao","tempo_abertura","tempo_falha","tempo_encerramento","cmt","tempo_duracao","cdv"
"25",5252,"SINCDVPRZ","BIPOINT 2N06TA ACESO INDEVIDAMENTE XAVIER CIENTE",2013-11-18 07:58:00,2013-11-18 06:40:00,2013-11-20 20:44:00,"CAJ",218760s (~2.53 days),"2N06T"
"26",5442,"SINCDVPTO","FALSA OCUPACAO NO CDV 1N13T PRIMEIRO A SUL 1 ARIADNER DA SULCIENTE",2013-11-21 10:53:00,2013-11-21 09:00:00,2013-11-21 13:15:00,"NEV",8520s (~2.37 hours),"1N13T"
"27",5610,"SINCDVPAZ","FALSA OCUPACAO INTERMITENTE A NO CDV 2S08T A NORTE DDE PAZ 2 XAVIER DA SULCIENTE",2013-11-25 10:48:00,2013-11-25 10:00:00,2014-01-16 16:16:00,"RECS",4512480s (~7.46 weeks),"2S08T"
"28",5724,"SINCDVRECSUL","F.O INTERMITENTE NO CDV 2S03T XAVIER CIENTE",2013-11-27 11:28:00,2013-11-27 11:09:00,2014-01-16 16:19:00,"RECS",4337460s (~7.17 weeks),"2S03T"
"29",5791,"SINCDVCAJ","CODIGO 0 NO CDV 1N01T PLAT. CAJ VIA-1 ANGELO CIENTE",2013-11-28 18:09:00,2013-11-28 18:09:00,2013-11-28 21:15:00,"CAJ",11160s (~3.1 hours),"1N01T"
"30",5874,"SINCDVPAZ","F. O. NO CDV 2S08T 1º CDV A NORTE PAZ-2 GOMES CIENTE",2013-11-30 14:19:00,2013-11-30 14:16:00,2013-12-04 18:51:00,"RECS",361920s (~4.19 days),"2S08T"
"31",6508,"SINCDVFAL","ENTRE FAL E NEV FALSA OCUP CDVS 1N05T E 1N06T. XAVIER CIENTE",2013-12-12 12:44:00,2013-12-12 09:35:00,2013-12-13 14:55:00,"NEV",94260s (~1.09 days),"1N05T-1N06T"
"32",6601,"SINCDVIPI","F.O NO CDV 3S01-T ( FLASH DO TUE 01 ) ROGERIO CIENTE",2013-12-14 10:21:00,2013-12-14 09:50:00,2013-12-14 13:58:00,NA,13020s (~3.62 hours),"3S01T"
"33",7242,"SINCDVFAL","FO CDVS 1N07T, 1N08T, 1N09T, 1N010T, 1N011T, 1N012T, 2N07T, 2N08T E 2N09T - TRECHO FL / IMB LAZARO CIENTE",2013-12-29 13:51:00,2013-12-29 13:43:00,2013-12-29 15:52:00,"NEV",7260s (~2.02 hours),"1N07T-1N08T-1N09T-2N07T-2N08T-2N09T"
"34",7419,"SINCDVLAR","BI POINT ""B"" DO CDV 2N08T ACESO CONSTANTE IMPEDINDO ABERTURA DO SINALEIRO 9-B VIA-1 CIENTE VIA PROTHEUS ",2014-01-02 19:50:00,2014-01-02 19:50:00,2014-01-07 09:07:00,"CAJ",393420s (~4.55 days),"2N08T"
"35",7672,"SINCDVJOA","FO INT CDV 2S03T - 2º O. JOAS2 DALVA CIENTE",2014-01-07 15:09:00,2014-01-07 15:00:00,2014-01-07 20:14:00,NA,18300s (~5.08 hours),"2S03T"
"36",8151,"SINCDVREC","FALSA OCUPACAO(CDV:22,40,,3S01T)CONST TRAVESSAO 3 SEM CORRESPONDENCIA LUIS ALBERTO(REST)CIENTE ",2014-01-15 16:30:00,2014-01-15 16:20:00,2014-01-15 20:07:00,NA,13020s (~3.62 hours),"3S01T"
"37",8240,"SINCDVJOASUL","BI POINT 3S04 TRAV.-23 ACENDENDO INTERMITENTE PROVOCANDO FECHAMENTO SINALEIRO 2A. NORTE VIA-1 CLIVANDIR CIENTE ",2014-01-17 11:44:00,2014-01-17 11:40:00,2014-01-17 22:17:00,"RECS",37980s (~10.55 hours),"3S04T"
"38",8625,"SINCDVJOASUL","FALSA OCUPACAO INTERMITENTE NO CDV 2S04T A NORTE VIA 2 PROVOCANDO O FECHAMENTO DO SINALEIO 2C CIENTE VIA PROTEUS ",2014-01-27 04:49:00,2014-01-27 04:49:00,2014-01-29 07:56:00,"RECS",184020s (~2.13 days),"2S04T"
"39",8645,"SINCDVJOASUL","F. O. NO CDV 2S03T CIENTE VIA PROTHEUS",2014-01-27 12:07:00,2014-01-27 12:07:00,2014-01-29 08:08:00,"RECS",158460s (~1.83 days),"2S03T"
"40",9161,"SINCDVRECSUL","F.O NO CDV 3S04T XAVIER CIENTE",2014-02-07 10:46:00,2014-02-07 10:00:00,2014-02-10 13:59:00,"RECS",270780s (~3.13 days),"3S04T"
"41",9524,"SINCDVJOA","F.O. CONSTANTE NO CDV 3S04T SOBRE TRAV. 23 REST. CIENTE VIA RADIO",2014-02-15 16:59:00,2014-02-15 16:59:00,2014-02-17 05:40:00,NA,132060s (~1.53 days),"3S04T"
"42",9586,"SINCDVRECSUL","FALSA OCUPACAO NO CDV 3S03T XAVIER(CIENTE) ",2014-02-17 15:08:00,2014-02-17 15:00:00,2015-04-23 14:26:00,"RECS",37149480s (~1.18 years),"3S03T"
"43",10248,"SINCDVNEV","F. O. NO CDV 1S01T SUL LUIZ MELO CIENTE ",2014-03-05 18:59:00,2014-03-05 18:59:00,2014-03-05 20:29:00,"NEV",5400s (~1.5 hours),"1S01T"
"44",10496,"SINCDVGUA","ACESO INDEVIDAMENTE 2N08T XAVIER CIENTE",2014-03-10 14:59:00,2014-03-10 14:55:00,2014-03-10 18:54:00,"CAJ",14100s (~3.92 hours),"2N08T"
"45",10499,"SINCDVRECSUL","FALSA OCUPACAO NO CDV 3S04T HELIO(REST)CIENTE",2014-03-10 16:47:00,2014-03-10 16:45:00,2014-03-13 13:22:00,"RECS",246900s (~2.86 days),"3S04T"
"46",10536,"SINCDVREC","FALSA OCUPACAO NO 3S04T JURANDIR DA SUL CIENTE",2014-03-11 10:04:00,2014-03-11 08:50:00,2014-03-11 22:02:00,NA,43080s (~11.97 hours),"3S04T"
"47",11036,"SINCDVNEV","F.O INTERMITENTE NO CDV 2N02T, A NORTE DE NEV 2 JOAO CARLOS CIENTE",2014-03-19 22:58:00,2014-03-19 22:25:00,2014-03-20 19:22:00,"NEV",73440s (~20.4 hours),"2N02T"
"48",11138,"SINCDVGUA","BI POINT 2N08T (B) ACESO INDEVIDAMENTE CLIVANDYR CIENTE",2014-03-21 13:01:00,2014-03-21 12:55:00,2014-03-21 19:27:00,"CAJ",23160s (~6.43 hours),"2N08T"
"49",11834,"SINCDVJOA","FO CDVS 101,103,105,107 E 109 VIA 1, CDVS 102,104,106,108 E 110 VIA 2 E CDV 3S04T NA ZT MARLON CIENTE",2014-04-04 04:23:00,2014-04-04 04:15:00,2014-12-30 09:10:00,NA,23345220s (~38.6 weeks),"3S04T"
"50",13115,"SINCDVSHO","F. O. NO CDV 1N04T VIA-1 CLIVANDY CIENTE",2014-04-29 19:21:00,2014-04-29 19:21:00,2014-04-29 21:23:00,"NEV",7320s (~2.03 hours),"1N04T"
"51",13173,"SINCDVSHO","FALSA OCUPACAO NO CDV 1N04T CONST CLIVANDIR FALSA OCUPACAO CONST NO CDV 1N04T CLIVANDIR(CORRETIVA)CIENTE ",2014-04-30 14:18:00,2014-04-30 14:10:00,2014-05-05 07:08:00,"NEV",406200s (~4.7 days),"1N04T-1N04T"
"52",13994,"SINCDVLAR","FALSA OCUPACAO CONSTANTE NO CDV 2N11T A NORTE VIA 2 OBS APOIS TRABALHO DA NA 02 CIENTE GOMES/REST",2014-05-15 03:09:00,2014-05-15 03:05:00,2016-08-03 08:51:00,"CAJ",70090920s (~2.22 years),"2N11T"
"53",14253,"SINCDVREC","FALSA OCUPACAO NO CDV 22 VIA 1 40 VIA 2 3S01T ZONA DE TRANSFERENCIA. TRAV. 3 SEM CORRESPONDENCIA. MARCELO DO REST.CIENTE",2014-05-20 08:48:00,2014-05-20 08:32:00,2014-05-20 13:26:00,NA,16680s (~4.63 hours),"3S01T"
